stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
a311c8bd-63ed-4ee3-87d9-53ff2737aa34,"F56","Banana Lot/Intermodal Center","Framingham MBTA (Rear)",42.2770842776945,-71.4175287733989,0
1f2a99fe-a654-46f8-9cd7-0f39483b3c06,"BH","Blandin Hub","15 Blandin Ave Hub",42.2758746013567,-71.411843831053,0
85760a00-b1ab-4a50-8583-ef1be2bf637a,"W18","MassBay Community College",,42.311931539293,-71.2629611052848,0
33f886c6-c738-4c36-86aa-0283b0329362,"F28","MassBay Community College",,42.29134202,-71.41304255,0
aa89987b-12c5-4fb6-9f1a-7235cbba1dc1,"F29","Rose Kennedy Lane",,42.29052416,-71.41346032,0
66d41cd9-724c-4cdf-9ce8-8cef563a69c1,"F43","Walmart",,42.300242,-71.400487,0
d2001e9c-1138-42b6-a3fc-5da2cd3a958d,"N22","Sherwood Plaza",,42.2988289474743,-71.3854146829494,0
838e4d7b-2330-434c-b646-e754ab44e0db,"N21","Natick Mall - Wegmans","Natick Mall- Wegmans",42.3014669001977,-71.3863507739515,0
c8b8d612-a64e-4a5f-9540-54176729a33d,"F22","Super Stop and Shop",,42.30596451,-71.40172177,0
9ea68560-b451-43cd-ac18-8312b9b49ac1,"F82","Framingham High School",,42.3192003261566,-71.4002124309666,0
6461d405-a498-4ecd-bbc7-a75062cb0e82,"F21","Pinefield",,42.326086,-71.402609,0
e6c6280d-9208-4e95-9ad0-92c67e26d5b8,"F20","Nobscot Fire Station",,42.329557676885,-71.4322527606638,0
41e8a8e3-0b3b-4ac4-819f-b134762065db,"F85","Edmans House",,42.3296850818208,-71.4374870918684,0
8135f23d-e4c7-41d2-9b09-8f3d8b433b52,"F81","St Patricks Manor",,42.3084795360851,-71.4299581307148,0
2ef1f835-590f-40a6-9997-9c26612015e4,"F16","Framingham Center",,42.3005,-71.43454,0
22221074-3e17-455a-94c7-15d795e15206,"F15","MetroWest Medical Center",,42.28438494,-71.42004284,0
377febad-1e20-4414-b4d0-29b7ff9ba20a,"F30","Lincoln St & Pearl St",,42.282087,-71.416022,0
6bad56e7-8bf3-4f0d-8fae-1653797b366c,"F86","Second St at Rec Center",,42.2766725585861,-71.4000836849263,0
eb2152c9-0ebb-46c7-b429-2238ff601409,"N23","Sherwood Village on Mill St.",,42.2884407513404,-71.3836390604758,0
1a998d36-4679-400e-8b83-7133f1b7e604,"N57","Avenu at Natick",,42.3010136068471,-71.379806183565,0
e02067b0-cbb4-460b-8986-aff1ca39be23,"N20","9/27 Shopping Plaza",,42.301094,-71.359134,0
ee091834-b7bd-4905-9805-a453b7b085de,"N44","Moran Park/Downtown MBTA",,42.2854500881106,-71.3477564661358,0
9e0421c9-3813-4f5c-9932-ee6d338e2d58,"N15","Natick Common",,42.28378,-71.34729,0
859ee127-7f47-48b3-9f40-96756b16e84e,"N16","Leonard Morse Hospital",,42.2803552317831,-71.3340731760307,0
b5e8736d-ccef-463e-8308-04600b4ca86c,"N17","Senior Center",,42.286106,-71.337616,0
ec64d979-4b2d-43d9-a0d4-f59d4e17fa60,"N30","Coolidge Gardens",,42.2805322575886,-71.3470792083191,0
17f78ee5-c5d2-4c7d-b0fa-135ec9fb4999,"N29","Cedar Terrace",,42.2729281945782,-71.3556958052931,0
ce63c42a-74dc-427d-87af-b90c8cd262be,"N28","Cedar Gardens",,42.273838804593,-71.3553591880416,0
e439ccb0-7ead-4db8-8eae-cbad2ea29897,"N27","Roche Bros.",,42.282056,-71.376886,0
918993cf-6a03-44dd-a324-e31937bbfbbf,"F60","MCI/Adesa","MCI Adesa",42.2638757386134,-71.4077534620615,0
c2184376-7ca3-4954-8a00-efc496835567,"F51","Beaver St & Second St",,42.274105,-71.402115,0
7a2cfe3b-79d8-4b1c-acf6-cfaa781eab77,"F66","Tarelli Ter/Waverly St",,42.2798053789023,-71.4031118990846,0
6bdbf928-278e-42de-a335-548ed29fcd19,"F02","Framingham MBTA Station",,42.27655464,-71.41777396,0
6b5e9ece-c673-4e83-8746-40d9491c7c27,"F04","Bethany Hill",,42.268521,-71.432618,0
ff5f9bcc-c47c-4226-a06d-63e720b4da2f,"F68","Memorial House (Winthrop & Hollis)",,42.2700689595979,-71.4199789714801,0
696cd803-98e1-4bd7-8d51-bab74d5f9893,"A3","Market Basket",,42.2574572120581,-71.4269433276024,0
2628d97c-70b3-457e-9330-456a48e92d9f,"A4","Shaws Supermarket",,42.2407765532003,-71.4325330515226,0
c4a4e0ab-8e69-44d6-b014-36ec376211e9,"HL4","Holliston Congregational Church",,42.2014862121037,-71.4291722434266,0
3474bddd-fd62-4acd-ab3e-82ce263914e7,"MF6","Milford Crossing",,42.1499207407189,-71.4883605532861,0
4b525c3a-6ff1-4c4a-b353-2bbd5cfbf683,"F57","Franklin St & Proctor St",,42.2796323764105,-71.4187786828744,0
60be21f8-bbc3-46e9-bb1d-1916b7477eea,"F54","Franklin / Mt. Wayte",,42.2900634878912,-71.4286653058926,0
5a394ce9-46f4-42dd-9342-b9a2d1909216,"F11","Framingham State University",,42.29773,-71.43723,0
04f0992c-a549-43c2-af61-d40daa45c405,"F12","Stop and Shop",,42.2978110490925,-71.4487630992391,0
f7caa3cf-feb7-48d0-9eb4-0032d25f197d,"F49","The Green at 9 and 90",,42.2936174150477,-71.469366489015,0
32592de3-5bdb-4078-a1fc-1d017c553b47,"F59","500 Staples Dr rear Entrance",,42.2907917076821,-71.4927660818556,0
3e44aafc-1283-4a21-a754-58e89e1aaf97,"F14","Staples Drive",,42.2910773629592,-71.4883565299724,0
13f33cca-c194-4690-980c-7680928961b4,"F55","New York Ave",,42.2998401403332,-71.488204985154,0
4ec98b49-a78f-4851-a2c3-413debaa55c1,"F13","California Ave",,42.2985312222559,-71.4826648821035,0
c55f941c-b244-403f-8dd2-73094f682c56,"S5","Central St / Cherry St",,42.2962272045748,-71.5063246492341,0
13a472ae-4a76-4bc8-b97d-330c76c2419c,"S2","White Bagley Rd & Boston Rd",,42.30447551,-71.51614666,0
7b19e213-e237-4349-83a2-0c84147b9c56,"S3","Downtown Southborough",,42.305753070459,-71.5260227934136,0
1da973f9-4fda-4a99-b170-72ba6a86dbde,"MB6","Maple St / Walker St",,42.3331384261333,-71.5410753513024,0
32539c8d-e628-489c-ba5c-3719ec258ea2,"MB7","Main St",,42.347161015699,-71.5464598862207,0
5020d56d-892e-4fae-aada-b93f3e65cc48,"MB8","Academy Knoll Apartments",,42.3419776464687,-71.5604797935772,0
051e6a47-2da4-4ea4-ad5d-fd191688a3fa,"MB9","Broad St / Lincoln St",,42.343861898414,-71.5629380382858,0
1de93664-fb5c-4052-ad19-79e1298d7404,"MB22","Newton and Weed St",,42.346049239996,-71.55065486137,0
048fa3a5-e7a0-4ae3-92cf-9ea03a425c12,"F05","Concord St & Howard St/Downtown Common",,42.27765,-71.416779,0
ad6706ee-6db7-4930-88d0-16be245390ee,"F65","Arlington St/Waushakum St",,42.2712209684385,-71.4175287733989,0
b0674289-65ae-48aa-bcd3-4d1bcd52fa52,"MB13","Marlborough Hospital",,42.3537444981184,-71.5548820230294,0
61cd4cfb-2be9-4582-8473-a7d8cbb61875,"H1","Hudson WalMart","Hudson Walmart",42.3749929592009,-71.5590904092246,0
