route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
"12",3,1,"Avenal",0,1205,21
"12",3,2,"Avenal via Avenal",0,1206,36
"20",3,3,"Lemoore",0,2010,23
"20",3,4,"Lemoore",0,2010,23
"20",3,5,"Lemoore",0,2010,23
"20",3,6,"Lemoore",0,2010,23
"20",3,7,"Lemoore",0,2010,23
"20",3,8,"Lemoore",0,2010,23
"20",3,9,"Lemoore",0,2010,23
"20",3,10,"Lemoore",0,2011,23
"20",3,11,"Lemoore",0,2011,23
"20",3,12,"Lemoore",0,2011,23
"20",3,13,"Lemoore",0,2011,23
"20",3,14,"Lemoore",0,2011,23
"20",3,15,"Lemoore",0,2011,23
"1",3,16,"Green Line",0,17001,42
"7",3,17,"Red Line",0,17001,26
"1",3,18,"Green Line",0,17001,42
"7",3,19,"Red Line",0,17001,26
"1",3,20,"Green Line",0,17001,42
"7",3,21,"Red Line",0,17001,26
"1",3,22,"Green Line",0,17001,42
"7",3,23,"Red Line",0,17001,26
"1",3,24,"Green Line",0,17001,42
"7",3,25,"Red Line",0,17001,26
"1",3,26,"Green Line",0,17001,42
"7",3,27,"Red Line",0,17001,26
"1",3,28,"Green Line",0,17001,42
"7",3,29,"Red Line",0,17001,26
"1",3,30,"Green Line",0,17001,42
"2",3,32,"Orange Line",0,25001,49
"2",3,34,"Orange Line",0,25001,49
"2",3,36,"Orange Line",0,25001,49
"2",3,38,"Orange Line",0,25001,49
"2",3,40,"Orange Line",0,25001,49
"2",3,42,"Orange Line",0,25001,49
"2",3,44,"Orange Line",0,25001,49
"9",3,62,"Hanford",1,49001,73
"9",3,64,"Hanford",1,49001,73
"9",3,66,"Hanford",1,49001,73
"9",3,68,"Hanford",1,49001,73
"9",3,70,"Hanford",1,49001,73
"9",3,72,"Hanford",1,49001,73
"9",3,74,"Hanford",1,49001,73
"1",2,76,"Green Line",0,101,42
"1",2,77,"Green Line",0,101,42
"1",2,78,"Green Line",0,101,42
"1",2,79,"Green Line",0,101,42
"1",2,80,"Green Line",0,101,42
"1",2,81,"Green Line",0,101,42
"1",2,82,"Green Line",0,101,42
"1",2,83,"Green Line",0,101,42
"1",2,84,"Green Line",0,101,42
"1",2,85,"Green Line",0,101,42
"1",2,86,"Green Line",0,101,42
"1",2,87,"Green Line",0,101,42
"1",2,88,"Green Line",0,101,42
"1",2,89,"Green Line",0,101,42
"1",2,90,"Green Line",0,101,42
"1",2,91,"Green Line",0,101,42
"1",2,92,"Green Line",0,101,42
"1",2,93,"Green Line",0,101,42
"1",2,94,"Green Line",0,101,42
"1",2,95,"Green Line",0,101,42
"1",2,96,"Green Line",0,101,42
"1",2,97,"Green Line",0,101,42
"1",2,98,"Green Line",0,101,42
"1",2,99,"Green Line",0,101,42
"1",2,100,"Green Line",0,101,42
"1",2,101,"Green Line",0,101,42
"1",2,102,"Green Line",0,101,42
"2",2,103,"Orange Line",0,201,49
"2",2,104,"Orange Line",0,201,49
"2",2,105,"Orange Line",0,201,49
"2",2,106,"Orange Line",0,201,49
"2",2,107,"Orange Line",0,201,49
"2",2,108,"Orange Line",0,201,49
"2",2,109,"Orange Line",0,201,49
"2",2,110,"Orange Line",0,201,49
"2",2,111,"Orange Line",0,201,49
"2",2,112,"Orange Line",0,201,49
"2",2,113,"Orange Line",0,201,49
"2",2,114,"Orange Line",0,201,49
"2",2,115,"Orange Line",0,201,49
"2",2,116,"Orange Line",0,201,49
"2",2,117,"Orange Line",0,201,49
"2",2,118,"Orange Line",0,201,49
"2",2,119,"Orange Line",0,201,49
"2",2,120,"Orange Line",0,201,49
"2",2,121,"Orange Line",0,201,49
"2",2,122,"Orange Line",0,201,49
"2",2,123,"Orange Line",0,201,49
"2",2,124,"Orange Line",0,201,49
"2",2,125,"Orange Line",0,201,49
"2",2,126,"Orange Line",0,201,49
"2",2,127,"Orange Line",0,201,49
"2",2,128,"Orange Line",0,201,49
"3",2,129,"Purple Line",1,301,40
"3",2,130,"Purple Line",1,301,40
"3",2,131,"Purple Line",1,301,40
"3",2,132,"Purple Line",1,301,40
"3",2,133,"Purple Line",1,301,40
"3",2,134,"Purple Line",1,301,40
"3",2,135,"Purple Line",1,301,40
"3",2,136,"Purple Line",1,301,40
"3",2,137,"Purple Line",1,301,40
"3",2,138,"Purple Line",1,301,40
"3",2,139,"Purple Line",1,301,40
"3",2,140,"Purple Line",1,301,40
"3",2,141,"Purple Line",1,301,40
"3",2,142,"Purple Line",1,301,40
"3",2,143,"Purple Line",1,301,40
"3",2,144,"Purple Line",1,301,40
"3",2,145,"Purple Line",1,301,40
"3",2,146,"Purple Line",1,301,40
"3",2,147,"Purple Line",1,301,40
"3",2,148,"Purple Line",1,301,40
"3",2,149,"Purple Line",1,301,40
"3",2,150,"Purple Line",1,301,40
"3",2,151,"Purple Line",1,301,40
"3",2,152,"Purple Line",1,301,40
"3",2,153,"Purple Line",1,301,40
"3",2,154,"Purple Line",1,301,40
"3",2,155,"Purple Line",1,301,40
"5",3,162,"Pink Line",1,25001,60
"5",3,163,"Pink Line",1,25001,60
"5",3,164,"Pink Line",1,25001,60
"5",3,165,"Pink Line",1,25001,60
"5",3,166,"Pink Line",1,25001,60
"5",3,167,"Pink Line",1,25001,60
"5",3,168,"Pink Line",1,25001,60
"5",3,169,"Pink Line",1,25001,60
"3",3,170,"Purple Line",1,301,40
"3",3,171,"Purple Line",1,301,40
"3",3,172,"Purple Line",1,301,40
"3",3,173,"Purple Line",1,301,40
"3",3,174,"Purple Line",1,301,40
"3",3,175,"Purple Line",1,301,40
"3",3,188,"Purple Line",1,301,40
"3",3,189,"Purple Line",1,301,40
"3",3,190,"Purple Line",1,301,40
"3",3,191,"Purple Line",1,301,40
"3",3,192,"Purple Line",1,301,40
"3",3,193,"Purple Line",1,301,40
"3",3,194,"Purple Line",1,301,40
"3",3,195,"Purple Line",1,301,40
"3",3,196,"Purple Line",1,301,40
"4",3,197,"Hanford",1,49001,1
"4",3,198,"Hanford",1,49001,1
"4",3,199,"Hanford",1,49001,1
"4",3,200,"Hanford",1,49001,1
"4",3,201,"Hanford",1,49001,1
"4",3,202,"Hanford",1,49001,1
"4",3,203,"Hanford",1,49001,1
"4",3,204,"Hanford",1,49001,1
"4",2,205,"Brown Line",1,401,20
